ville_nom,ville_departement
ALLENC,48
ALLENJOIE,25
ALLENNES-LES-MARAIS,59
ALLENWILLER,67
ALLEREY,21
ALLEREY-SUR-SAONE,71
ALLERIOT,71
ALLERY,80
ALLES-SUR-DORDOGNE,24
ALLEUZE,15
ALLEVARD,38
ALLEVES,74
ALLEX,26
ALLEYRAC,43
ALLEYRAS,43
ALLEYRAT,19
ALLEYRAT,23
ALLEZ-ET-CAZENEUVE,47
ALLIANCELLES,51
ALLIAT,09
ALLIBAUDIERES,10
ALLICHAMPS,52
ALLIER,65
ALLIERES,09
ALLIGNY-COSNE,58
ALLIGNY-EN-MORVAN,58
ALLINEUC,22
ALLINGES,74
ALLOGNY,18
ALLONDANS,25
ALLONDAZ,73
ALLONDRELLE-LA-MALMAISON,54
ALLONNE,60
ALLONNE,79
ALLONNES,49
ALLONNES,72
ALLONNES,28
ALLONS,04
ALLONS,47
ALLONVILLE,80
ALLONZIER-LA-CAILLE,74
ALLOS,04
ALLOUAGNE,62
ALLOUE,16
ALLOUIS,18
ALLOUVILLE-BELLEFOSSE,76
ALLUY,58
ALLUYES,28
ALLY,15
ALLY,43
ALMAYRAC,81
ALMENECHES,61
ALMONT-LES-JUNIES,12
ALOS,09
ALOS,81
ALOS-SIBAS-ABENSE,64
ALOXE-CORTON,21
ALPUECH,12
ALQUINES,62
ALRANCE,12
ALSTING,57
ALTAGENE,2A
ALTECKENDORF,67
ALTENACH,68
ALTENHEIM,67
ALTHEN-DES-PALUDS,84
ALTIANI,2B
ALTIER,48
ALTILLAC,19
ALTKIRCH,68
ALTORF,67
ALTRIPPE,57
ALTVILLER,57
ALTWILLER,67
ALUZE,71
ALVIGNAC,46
ALVIMARE,76
ALZEN,09
ALZI,2B
ALZING,57
ALZON,30
ALZONNE,11
AMAGE,70
AMAGNE,08
AMAGNEY,25
AMAILLOUX,79
AMANCE,54
AMANCE,70
AMANCE,10
AMANCEY,25
AMANCY,74
AMANGE,39
AMANLIS,35
AMANTY,55
AMANVILLERS,57
AMANZE,71
AMARENS,81
AMATHAY-VESIGNEUX,25
AMAYE-SUR-ORNE,14
AMAYE-SUR-SEULLES,14
AMAZY,58
AMBACOURT,88
AMBARES-ET-LAGRAVE,33
AMBAX,31
AMBAZAC,87
AMBEL,38
AMBENAY,27
AMBERAC,16
AMBERIEU-EN-BUGEY,01
AMBERIEUX,69
AMBERIEUX-EN-DOMBES,01
AMBERNAC,16
AMBERRE,86
AMBERT,63
AMBES,33
AMBEYRAC,12
AMBIALET,81
AMBIEGNA,2A
AMBIERLE,42
AMBIEVILLERS,70
AMBILLOU,37
AMBILLOU-CHATEAU,49
AMBILLY,74
AMBLAINVILLE,60
AMBLANS-ET-VELOTTE,70
AMBLENY,02
AMBLEON,01
AMBLETEUSE,62
AMBLEVILLE,95
AMBLEVILLE,16
AMBLIE,14
AMBLIMONT,08
AMBLOY,41
AMBLY-FLEURY,08
AMBLY-SUR-MEUSE,55
AMBOISE,37
AMBON,56
AMBONIL,26
AMBONNAY,51
AMBONVILLE,52
AMBRAULT,36
AMBRES,81
AMBRICOURT,62
AMBRIEF,02
AMBRIERES,51
AMBRIERES-LES-VALLEES,53
AMBRINES,62
AMBRONAY,01
AMBRUGEAT,19
AMBRUMESNIL,76
AMBRUS,47
AMBUTRIX,01
AMECOURT,27
AMEL-SUR-L'ETANG,55
AMELECOURT,57
AMELIE-LES-BAINS-PALALDA,66
AMENDEUIX-ONEIX,64
AMENONCOURT,54
AMENUCOURT,95
AMES,62
AMETTES,62
AMEUGNY,71
AMEUVELLE,88
AMFREVILLE,50
AMFREVILLE,14
AMFREVILLE-LA-CAMPAGNE,27
AMFREVILLE-LA-MI-VOIE,76
AMFREVILLE-LES-CHAMPS,76
